"currency","burnDate","inSymbol","inAmount","outSymbol","outAmount","xactnFee","inCoinPrice","outCoinPrice","xactnFeeCoinPrice","xactnType","xactnTypeDetail","xactnId","inAmountRaw","outAmountRaw","xactnFeeRaw","sender","recipient","memo","burnDateAltFormat1"
"USD","2025-07-23T18:48:40.000Z","zaeusdc","2000000000000","aeUSDC","2000000000000","0.003","N/A","N/A","N/A","Trade Coin","supply","0xa4e6a770f9a45287314d91d039ef44539d5133822bb39db628139fa28c3ff67f","2000000000000","2000000000000","3000","","SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-vault","","07/23/2025 18:48:40"
"USD","2025-07-23T18:48:40.000Z","zaeusdc","546793000","","0","0","N/A","","","Receive","supply","0xa4e6a770f9a45287314d91d039ef44539d5133822bb39db628139fa28c3ff67f","546793000","0","0","","","","07/23/2025 18:48:40"
"USD","2025-07-22T15:34:23.000Z","STX","0.001","","0","0","N/A","","","Receive","'101870658'","0x8e68700edac4898e1c78e5af23f0a4bbcf3c179324257c20d0a95d54ad717579","1000","0","0","SP2TBW1RSC44JZA4XQ1C2G5SZRGSMM14C5NWAKSDD","","101870658","07/22/2025 15:34:23"
"USD","2025-07-22T15:34:23.000Z","","0","STX","30000.000","0.0004","","N/A","N/A","Send","'101870658'","0x98d6b40ea70e6353e2a41033a2401f347220d27e8a37887737f1d793f9227492","0","30000000000","400","","SP2TA4FGB43WVAS8MVS6YCWTSN2BZNQ1ASGEAKSDD","101870658","07/22/2025 15:34:23"
"USD","2025-07-21T21:54:41.000Z","STX","0.001","","0","0","N/A","","","Receive","'101870658'","0xb3cf35e05ae8f8393536af898341b014dc3ae561c950060ea77dc5779cc706f2","1000","0","0","SP2TBW1RSC44JZA4XQ1C2G5SZRGSMM14C5NWAKSDD","","101870658","07/21/2025 21:54:41"
"USD","2025-07-21T21:54:41.000Z","","0","STX","299950.000","0.0004","","N/A","N/A","Send","'101870658'","0xcd60e807c5f3c8c2a83335292886c90f300a7fc386f23ae283bf8838359ae0e0","0","299950000000","400","","SP2TA4FGB43WVAS8MVS6YCWTSN2BZNQ1ASGEAKSDD","101870658","07/21/2025 21:54:41"
"USD","2025-07-21T21:54:41.000Z","STX","0.001","","0","0","N/A","","","Receive","'101870658'","0xe4df611ab8398aef42a6737a91f4532665f68738ea00a7aa24e38be53c73dddc","1000","0","0","SP2TBW1RSC44JZA4XQ1C2G5SZRGSMM14C5NWAKSDD","","101870658","07/21/2025 21:54:41"
"USD","2025-07-21T21:54:41.000Z","","0","STX","50.000","0.0004","","N/A","N/A","Send","'101870658'","0xb031168add753e1e87129faf89f90e8278011fcac258e96d5c19624f250efdab","0","50000000","400","","SP2TA4FGB43WVAS8MVS6YCWTSN2BZNQ1ASGEAKSDD","101870658","07/21/2025 21:54:41"
"USD","2025-07-21T20:49:58.000Z","STX","152890.000","","0","0","N/A","","","Receive","","0xe5882610e512b9fc7ef18305e4a83708930f7831ca753ee6ecce2e42422e082e","152890000000","0","0","SP1KE61KVRMKSCZ48WHM5J2DQVXQRK7KESHFAB9AZ","","","07/21/2025 20:49:58"
"USD","2025-07-21T20:49:58.000Z","STX","180406.192","","0","0","N/A","","","Receive","","0xd6399c37b5a3621f6be069e3f02604227fff37fd57590a509fedb7b3726a391b","180406192435","0","0","SP2T0W2S5FBWBJDMHAH64P606AJFGPV9NXN116V6W","","","07/21/2025 20:49:58"
"USD","2025-07-21T20:18:11.000Z","STX","1.000","","0","0","N/A","","","Receive","","0x0a7909a4d6296b95e634205cbe338d50eea98ed875a069f2f71ed6040ad5e737","1000000","0","0","SP2T0W2S5FBWBJDMHAH64P606AJFGPV9NXN116V6W","","","07/21/2025 20:18:11"
"USD","2025-07-13T00:06:46.000Z","sbtc-token","5025","","0","0","N/A","","","Receive","distribute-rewards","0x0cefae0af22db9685f74c7131265aee676f57f0f0148fbb012147e7ea1acd503","5025","0","0","SP804CDG3KBN9M6E00AD744K8DC697G7HBCG520Q.sbtc-yield-rewards-v3","","","07/13/2025 00:06:46"
"USD","2025-07-08T15:14:55.000Z","lp-token","497824044624","aeUSDC","500000000000","0.003","N/A","N/A","N/A","Trade Coin","deposit","0xfbdf565a1e3be0f8a73e75f9a2f1f9b9264dfc5281962416a4fe890206a074b7","497824044624","500000000000","3000","","SP35E2BBMDT2Y1HB0NTK139YBGYV3PAPK3WA8BRNA.state-v1","","07/08/2025 15:14:55"
"USD","2025-07-08T15:14:55.000Z","lp-token","24032225322","","0","0.003","N/A","","N/A","Receive","claim-rewards","0xd81b4c7ba9ab4ac34b0d95b9e3d9a10a0e9ae7df33b85d391b7cae82719b05f2","24032225322","0","3000","SPMCMPRRD1WQHKW5F7PRJW2AZV4K9AEH8SJTQMXF.lp-incentives-v2","","","07/08/2025 15:14:55"
"USD","2025-07-08T15:14:55.000Z","lp-token","26900423271","","0","0.003","N/A","","N/A","Receive","claim-rewards","0x6334ef756384700ae4665fd071aa915cb566c639b8a3c8ca0a4b9aa6d9def9c3","26900423271","0","3000","SP2PRX1PQDFAKTP12TFMEZJNG7BAEF66ZVBD4YP24.lp-incentives-v2","","","07/08/2025 15:14:55"
"USD","2025-07-08T15:14:55.000Z","lp-token","20556289911","","0","0.003","N/A","","N/A","Receive","claim-rewards","0x3f8f33fabf37f8a761d1da0739af95c5210ef6c92f5103d02d256b32ebed056e","20556289911","0","3000","SP2JZQ7BXSEV4H8KXD6ZT0NW293V5ENJR7Y12RPJ3.lp-incentives-v2","","","07/08/2025 15:14:55"
